Speed,RatePerDistance
1,724.4929165
2,609.7546388
3,495.0163612
4,380.2780835
5,265.5398058
6,202.2826392
7,190.5065835
8,178.7305278
9,170.9310833
10,167.10825
11,163.2854167
12,162.4960278
13,164.7400835
14,166.9841392
15,169.2281948
16,171.4722505
17,173.186973
18,174.9016955
19,176.616418
20,178.3311405
21,180.045863
22,181.7605855
23,183.475308
24,185.1900305
25,186.904753
26,188.6194756
27,190.3341981
28,192.0489206
29,193.7636431
30,195.4783656
31,197.1930881
32,198.9078106
33,200.6225331
34,202.3372556
35,204.0519781
36,205.7667006
37,207.4814231
38,209.1961456
39,210.9108681
40,212.6255906
41,214.3403131
42,216.0550356
43,217.7697581
44,219.4844806
45,221.1992031
46,222.9139257
47,224.6286482
48,226.3433707
49,228.0580932
50,229.7728157
51,231.4875382
52,233.2022607
53,234.9169832
54,236.6317057
55,238.3464282
56,240.0611507
57,241.7758732
58,243.4905957
59,245.2053182
60,246.9200407
61,248.6347632
62,250.3494857
63,252.0642082
64,253.7789307
65,255.4936532
66,257.2083758
67,258.9230983
68,260.6378208
69,262.3525433
70,264.0672658
71,265.7819883
72,267.4967108
73,269.2114333
74,270.9261558
75,272.6408783
76,274.3556008
77,276.0703233
78,277.7850458
79,279.4997683
80,281.2144908
81,282.9292133
82,284.6439358
83,286.3586583
84,288.0733808
85,289.7881033
86,291.5028259
87,293.2175484
88,294.9322709
89,296.6469934
90,298.3617159
91,300.0764384
92,301.7911609
93,303.5058834
94,305.2206059
95,306.9353284
96,308.6500509
97,310.3647734
98,312.0794959
99,313.7942184
100,315.5089409
