local_hour,region,NO2,OZONE,PM2.5
2024-11-30 19:00:00,bronx,,17.0,37.0
2024-11-30 19:00:00,brooklyn,,,46.5
2024-11-30 19:00:00,manhattan,11.0,18.0,38.2
2024-11-30 19:00:00,queens,,19.0,43.333333333333336
2024-11-30 19:00:00,staten_island,8.0,,24.0
2024-11-30 20:00:00,bronx,,18.5,38.333333333333336
2024-11-30 20:00:00,brooklyn,,,48.5
2024-11-30 20:00:00,manhattan,8.0,18.5,40.4
2024-11-30 20:00:00,queens,,19.0,45.666666666666664
2024-11-30 20:00:00,staten_island,8.0,,27.0
2024-11-30 21:00:00,bronx,,17.0,40.666666666666664
2024-11-30 21:00:00,brooklyn,,,50.0
2024-11-30 21:00:00,manhattan,8.0,18.5,39.6
2024-11-30 21:00:00,queens,,19.0,47.666666666666664
2024-11-30 21:00:00,staten_island,7.0,,29.0
2024-11-30 22:00:00,bronx,,16.5,42.0
2024-11-30 22:00:00,brooklyn,,,49.5
2024-11-30 22:00:00,manhattan,8.0,17.5,38.2
2024-11-30 22:00:00,queens,,18.0,48.333333333333336
2024-11-30 22:00:00,staten_island,6.0,,29.0
2024-11-30 23:00:00,bronx,,16.0,42.333333333333336
2024-11-30 23:00:00,brooklyn,,,47.0
2024-11-30 23:00:00,manhattan,8.0,15.5,38.0
2024-11-30 23:00:00,queens,,18.0,47.0
2024-11-30 23:00:00,staten_island,6.0,,31.0
2024-12-01 00:00:00,bronx,,17.0,41.333333333333336
2024-12-01 00:00:00,brooklyn,,,46.0
2024-12-01 00:00:00,manhattan,,17.0,37.2
2024-12-01 00:00:00,queens,,18.0,46.333333333333336
2024-12-01 00:00:00,staten_island,7.0,,30.0
2024-12-01 01:00:00,bronx,,15.5,42.333333333333336
2024-12-01 01:00:00,brooklyn,,,45.5
2024-12-01 01:00:00,manhattan,,14.5,40.0
2024-12-01 01:00:00,queens,,16.0,46.333333333333336
2024-12-01 01:00:00,staten_island,,,31.0
2024-12-01 02:00:00,bronx,,18.0,43.333333333333336
2024-12-01 02:00:00,brooklyn,,,46.5
2024-12-01 02:00:00,manhattan,,16.0,43.2
2024-12-01 02:00:00,queens,,16.0,47.0
2024-12-01 02:00:00,staten_island,,,29.0
2024-12-01 03:00:00,bronx,,14.0,43.0
2024-12-01 03:00:00,brooklyn,,,45.0
