pickup_date,region,avg_temp
2024/12/1,bronx,34
2024/12/2,bronx,36
2024/12/3,bronx,38.5
2024/12/4,bronx,37.5
2024/12/5,bronx,41.5
2024/12/6,bronx,33.5
2024/12/7,bronx,37.5
2024/12/8,bronx,47
2024/12/9,bronx,46
2024/12/10,bronx,47.5
2024/12/11,bronx,51.5
2024/12/12,bronx,36.5
2024/12/13,bronx,31
2024/12/14,bronx,31
2024/12/15,bronx,36
2024/12/16,bronx,45
2024/12/17,bronx,55
2024/12/18,bronx,48
2024/12/19,bronx,41
2024/12/20,bronx,36.5
2024/12/21,bronx,27.5
2024/12/22,bronx,18.5
2024/12/23,bronx,21.5
2024/12/24,bronx,35
2024/12/25,bronx,32
2024/12/26,bronx,32
2024/12/27,bronx,35.5
2024/12/28,bronx,44.5
2024/12/29,bronx,52.5
2024/12/30,bronx,54
2024/12/31,bronx,48.5
2024/12/1,brooklyn,31.5
2024/12/2,brooklyn,32
2024/12/3,brooklyn,34.5
2024/12/4,brooklyn,33.5
2024/12/5,brooklyn,37
2024/12/6,brooklyn,32.5
2024/12/7,brooklyn,36.5
2024/12/8,brooklyn,44.5
2024/12/9,brooklyn,41.5
2024/12/10,brooklyn,48.5
2024/12/11,brooklyn,51.5
2024/12/12,brooklyn,35.5
2024/12/13,brooklyn,29.5
2024/12/14,brooklyn,28.5
2024/12/15,brooklyn,31.5
2024/12/16,brooklyn,44.5
2024/12/17,brooklyn,47.5
2024/12/18,brooklyn,43
2024/12/19,brooklyn,41
2024/12/20,brooklyn,35.5
2024/12/21,brooklyn,26.5
2024/12/22,brooklyn,17
2024/12/23,brooklyn,22.5
2024/12/24,brooklyn,33.5
2024/12/25,brooklyn,31
2024/12/26,brooklyn,30.5
2024/12/27,brooklyn,31.5
2024/12/28,brooklyn,42
2024/12/29,brooklyn,51.5
2024/12/30,brooklyn,51.5
2024/12/31,brooklyn,42.5
2024/12/1,manhattan,32.5
2024/12/2,manhattan,34
2024/12/3,manhattan,37
2024/12/4,manhattan,36
2024/12/5,manhattan,35.5
2024/12/6,manhattan,32
2024/12/7,manhattan,36
2024/12/8,manhattan,46.5
2024/12/9,manhattan,47.5
2024/12/10,manhattan,47
2024/12/11,manhattan,50.5
2024/12/12,manhattan,35
2024/12/13,manhattan,30
2024/12/14,manhattan,30
2024/12/15,manhattan,34.5
2024/12/16,manhattan,45
2024/12/17,manhattan,54
2024/12/18,manhattan,47.5
2024/12/19,manhattan,41
2024/12/20,manhattan,35
2024/12/21,manhattan,26
2024/12/22,manhattan,17
2024/12/23,manhattan,22
2024/12/24,manhattan,33.5
2024/12/25,manhattan,31.5
2024/12/26,manhattan,30
2024/12/27,manhattan,35
2024/12/28,manhattan,47
2024/12/29,manhattan,55
2024/12/30,manhattan,53.5
2024/12/31,manhattan,48.5
2024/12/1,queens,34.5
2024/12/2,queens,36.5
2024/12/3,queens,38
2024/12/4,queens,36.5
2024/12/5,queens,38
2024/12/6,queens,34.5
2024/12/7,queens,38.5
2024/12/8,queens,48
2024/12/9,queens,44
2024/12/10,queens,50.5
2024/12/11,queens,52
2024/12/12,queens,37.5
2024/12/13,queens,32
2024/12/14,queens,31
2024/12/15,queens,34.5
2024/12/16,queens,46
2024/12/17,queens,51
2024/12/18,queens,45.5
2024/12/19,queens,43.5
2024/12/20,queens,37.5
2024/12/21,queens,28.5
2024/12/22,queens,19
2024/12/23,queens,23
2024/12/24,queens,36
2024/12/25,queens,34
2024/12/26,queens,33
2024/12/27,queens,34
2024/12/28,queens,46
2024/12/29,queens,53
2024/12/30,queens,52.5
2024/12/31,queens,46
2024/12/1,staten_island,31.5
2024/12/2,staten_island,33.5
2024/12/3,staten_island,38
2024/12/4,staten_island,33
2024/12/5,staten_island,36
2024/12/6,staten_island,33.5
2024/12/7,staten_island,37.5
2024/12/8,staten_island,47
2024/12/9,staten_island,45
2024/12/10,staten_island,50
2024/12/11,staten_island,52.5
2024/12/12,staten_island,35.5
2024/12/13,staten_island,30.5
2024/12/14,staten_island,28
2024/12/15,staten_island,31
2024/12/16,staten_island,45
2024/12/17,staten_island,53.5
2024/12/18,staten_island,47
2024/12/19,staten_island,41.5
2024/12/20,staten_island,36
2024/12/21,staten_island,26.5
2024/12/22,staten_island,18
2024/12/23,staten_island,20
2024/12/24,staten_island,33.5
2024/12/25,staten_island,31.5
2024/12/26,staten_island,30.5
2024/12/27,staten_island,33
2024/12/28,staten_island,43
2024/12/29,staten_island,55.5
2024/12/30,staten_island,51.5
2024/12/31,staten_island,46
